
2024/07/30 (03:54:55) | ===> btop++ v.1.3.2
2024/08/20 (00:58:40) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:40) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:40) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:40) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:40) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:40) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:40) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:40) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:42) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:42) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:42) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:42) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:42) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:42) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:42) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:42) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:42) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:44) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:44) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:44) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:44) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:44) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:44) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:44) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:44) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:44) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:46) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:46) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:46) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:46) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:46) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:46) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:46) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:46) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:46) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:48) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:48) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:48) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:48) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:48) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:48) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:48) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:48) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:48) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:50) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:50) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:50) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:50) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:50) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:50) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:50) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:50) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:50) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:52) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:52) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:52) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:52) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:52) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:52) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:52) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:52) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:52) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:54) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:54) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:54) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:54) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:54) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:54) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:54) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:54) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:54) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:56) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:56) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:56) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:56) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:56) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:56) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:56) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:56) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:56) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:58:58) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:58:58) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:58:58) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:58:58) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:58:58) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:58:58) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:58:58) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:58:58) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:58:58) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:00) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:00) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:00) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:00) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:00) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:00) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:00) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:00) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:00) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:02) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:02) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:02) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:02) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:02) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:02) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:02) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:02) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:02) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:04) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:04) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:04) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:04) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:04) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:04) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:04) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:04) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:04) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:06) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:06) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:06) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:06) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:06) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:06) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:06) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:06) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:06) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:08) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:08) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:08) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:08) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:08) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:08) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:08) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:08) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:08) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:10) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:10) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:10) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:10) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:10) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:10) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:10) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:10) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:10) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:12) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:12) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:12) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:12) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:12) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:12) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:12) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:12) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:12) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:14) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:14) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:14) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:14) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:14) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:14) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:14) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:14) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:14) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:16) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:16) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:16) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:16) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:16) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:16) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:16) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:16) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:16) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:18) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:18) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:18) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:18) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:18) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:18) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:18) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:18) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:18) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:20) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:20) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:20) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:20) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:20) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:20) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:20) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:20) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:20) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:22) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:22) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:22) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:22) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:22) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:22) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:22) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:22) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:22) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:24) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:24) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:24) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:24) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:24) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:24) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:24) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:24) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:24) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:26) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:26) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:26) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:26) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:26) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:26) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:26) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:26) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:26) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:28) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:28) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:28) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:28) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:28) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:28) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:28) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:28) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:28) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:30) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:30) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:30) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:30) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:30) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:30) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:30) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:30) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:30) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:32) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:32) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:32) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:32) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:32) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:32) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:32) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:32) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:32) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:34) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:34) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:34) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:34) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:34) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:34) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:34) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:34) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:34) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:36) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:36) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:36) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:36) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:36) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:36) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:36) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:36) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:36) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:38) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:38) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:38) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:38) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:38) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:38) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:38) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:38) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:38) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:40) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:40) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:40) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:40) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:40) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:40) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:40) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:40) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:40) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:42) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:42) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:42) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:42) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:42) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:42) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:42) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:42) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:42) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:44) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:44) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:44) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:44) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:44) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:44) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:44) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:44) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:44) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:46) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:46) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:46) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:46) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:46) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:46) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:46) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:46) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:46) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:48) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:48) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:48) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:48) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
2024/08/20 (00:59:48) | WARNING: NVML: Failed to get VRAM clock speed: Unknown Error
2024/08/20 (00:59:48) | WARNING: NVML: Failed to get GPU power usage: Unknown Error
2024/08/20 (00:59:48) | WARNING: NVML: Failed to get GPU power state: Unknown Error
2024/08/20 (00:59:48) | WARNING: NVML: Failed to get GPU temperature: Unknown Error
2024/08/20 (00:59:48) | WARNING: NVML: Failed to get VRAM info: Unknown Error
2024/08/20 (00:59:50) | WARNING: NVML: Failed to get PCIe TX throughput: Unknown Error
2024/08/20 (00:59:50) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/08/20 (00:59:50) | WARNING: NVML: Failed to get PCIe RX throughput: Unknown Error
2024/08/20 (00:59:50) | WARNING: NVML: Failed to get GPU clock speed: Unknown Error
